"","RANK","Conference","School","Arena.Name","Arena","Capacity","address","lat","long"
"1",1,"ACC","Syracuse","JMA Wireless Dome ","JMA Wireless Dome ",35642,"JMA Wireless Dome ",43.03628365,-76.1363603170983
"2",2,"ACC","Louisville","KFC Yum! Center ","KFC Yum! Center ",22090,"KFC Yum! Center ",38.25769635,-85.753859924394
"3",3,"ACC","North Carolina","Dean E. Smith Center ","Dean E. Smith Center ",21750,"Dean E. Smith Center ",35.89948365,-79.0438118682028
"4",4,"SEC","Tennessee","Thompson Boling Arena ","Thompson Boling Arena ",21678,"Thompson Boling Arena ",35.9511756,-83.9250130483568
"5",5,"Big East","Georgetown","Capital One Arena ","Capital One Arena ",20600,"Capital One Arena ",38.8981883,-77.0209377602636
"6",6,"SEC","Kentucky","Rupp Arena ","Rupp Arena ",20500,"Rupp Arena ",38.04941235,-84.5023585654463
"7",7,"Big East","St. John's","Madison Square Garden ","Madison Square Garden ",19812,"Madison Square Garden ",40.7505129,-73.9935159454515
"8",8,"ACC","N.C. State","PNC Arena ","PNC Arena ",19700,"PNC Arena ",35.80339805,-78.7219165859909
"9",9,"SEC","Arkansas","Bud Walton Arena ","Bud Walton Arena ",19200,"Bud Walton Arena ",36.06156975,-94.1781074593006
"10",10,"Big Ten","Ohio St.","Value City Arena ","Value City Arena ",19049,"Value City Arena ",40.0076033,-83.0249566525742
"11",11,"American","Memphis","FedExForum ","FedExForum ",18400,"FedExForum ",35.1382401,-90.050694577681
"12",12,"Atlantic Sun","Bellarmine","Freedom Hall ","Freedom Hall ",18252,"Freedom Hall ",36.3244327,-82.3751979449904
"13",13,"SEC","South Carolina","Colonial Life Arena ","Colonial Life Arena ",18000,"Colonial Life Arena ",33.99478385,-81.0373546200974
"14",13,"Mountain West","UNLV","Thomas & Mack Center ","Thomas & Mack Center ",18000,"Thomas & Mack Center ",36.10492295,-115.144266201454
"15",15,"Big 12","BYU","Marriott Center ","Marriott Center ",17978,"Marriott Center ",40.25386355,-111.649345561597
"16",16,"Big Ten","Maryland","Xfinity Center ","Xfinity Center ",17950,"Xfinity Center ",38.99562385,-76.9413362170981
"17",17,"Big East","Marquette","Fiserv Forum ","Fiserv Forum ",17600,"Fiserv Forum ",43.04500955,-87.9174871058158
"18",18,"Big Ten","Indiana","Assembly Hall ","Assembly Hall ",17472,"Assembly Hall ",40.7697569,-111.893333095198
"19",19,"Big East","Creighton","CHI Health Center Omaha ","CHI Health Center Omaha ",17352,"CHI Health Center Omaha ",41.2636669,-95.9279384771368
"20",20,"Big Ten","Wisconsin","Kohl Center ","Kohl Center ",17287,"Kohl Center ",43.06941395,-89.3968669343219
"21",21,"Big 12","Kansas","Allen Fieldhouse ","Allen Fieldhouse ",16300,"Allen Fieldhouse ",38.9543125,-95.2528213736955
"22",22,"Mountain West","Fresno St.","Save Mart Center ","Save Mart Center ",15596,"Save Mart Center ",36.809685,-119.7385104
"23",23,"Big Ten","Illinois","State Farm Center ","State Farm Center ",15544,"State Farm Center ",40.0962914,-88.2358969015018
"24",24,"Mountain West","New Mexico","The Pit ","The Pit ",15411,"The Pit ",35.0667282,-106.63219913411
